Stratum,Group,N,Mean_MAE,CI_lower,CI_upper
Overall,—,8862,0.21664233851055187,0.21400600825593633,0.2192786687651674
Diagnosis,CN,2716,0.2241645879138951,0.22003467209537067,0.22829450373241952
Diagnosis,MCI,2459,0.22966773977183835,0.22315231942720676,0.23618316011646995
Diagnosis,AD,669,0.21502157231713592,0.20626803014426648,0.22377511449000537
Diagnosis,Other,1268,0.2354836975713872,0.22854009202578993,0.2424273031169845
Sex,Female,3861,0.2294421319094639,0.22484297326017977,0.234041290558748
Sex,Male,3251,0.2245926428702961,0.22047415158152708,0.2287111341590651
APOE4,ε3/ε3,4038,0.2256996296102939,0.2215513843716768,0.22984787484891103
APOE4,1 ε4 allele,2318,0.2238654714770768,0.21869535680529917,0.22903558614885444
APOE4,2 ε4 alleles,569,0.24496655042650978,0.23109951427968603,0.25883358657333355
APOE4,Unknown,187,0.24783699909549603,0.23304152698502495,0.2626324712059671
Age_group,<60,849,0.27551120141546387,0.2663444828857238,0.2846779199452039
Age_group,60–70,1792,0.2147924024526291,0.20871911750175687,0.22086568740350132
Age_group,70–80,3129,0.22620857984650006,0.22113352892809593,0.23128363076490419
Age_group,≥80,1342,0.2156506048712621,0.21014371528589965,0.22115749445662458
Study,ADNI,5184,0.2167465201023776,0.212990190579228,0.22050284962552721
Study,AIBL,132,0.2330041400282646,0.21559607128107033,0.2504122087754589
Study,BLSA,524,0.21831450769311023,0.21085499364868254,0.2257740217375379
Study,CARDIA,470,0.2871606537879055,0.2775929591187809,0.2967283484570301
Study,OASIS,697,0.27080337471882737,0.25999517760119273,0.281611571836462
Study,PENN,96,0.22770093776989866,0.2054858004283452,0.24991607511145214
Study,WRAP,9,0.18718834031975476,0.14332719438810926,0.23104948625140026
Fold,0,1709,0.2258491690867612,0.21966955219088558,0.23202878598263682
Fold,1,1845,0.2117004002916941,0.20488982517104284,0.21851097541234535
Fold,2,1805,0.21051611484317487,0.20554889486948044,0.2154833348168693
Fold,3,1780,0.22293209545862017,0.2173459941365027,0.22851819678073762
Fold,4,1723,0.2127221231368462,0.20701681466715488,0.2184274316065375
